assetId,author,source,license,commercialUse,modificationAllowed,attribution,evidencePath
background.terraces,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/terraces.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
hero.blade,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/hero-blade.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
background.carmine,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/carmine.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
background.glassgarden,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/glassgarden.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.porcelain,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/porcelain.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
hero.needle,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/hero-needle.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
hero.glass,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/hero-glass.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.splinter,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/splinter.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.loom,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/loom.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.gardener,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/gardener.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.rose,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/rose.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.keeper,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/keeper.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.cantor,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/cantor.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.barkguard,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/barkguard.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.chime,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/chime.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.cupkeeper,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/cupkeeper.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.dewweaver,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/dewweaver.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.dewsplinter,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/dewsplinter.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.heartchoir,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/heartchoir.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.memoryweaver,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/memoryweaver.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.bankguard,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/bankguard.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.redshard,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/redshard.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.floodweaver,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/floodweaver.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.weftguard,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/weftguard.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.scarletshard,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/scarletshard.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.knotweaver,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/knotweaver.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.lockmaster,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/lockmaster.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
item.weapon.blade,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/item-weapon-blade.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
item.weapon.glass,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/item-weapon-glass.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
item.weapon.needle,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/item-weapon-needle.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
item.head,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/item-head.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
item.armor,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/item-armor.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
item.focus,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/item-focus.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
item.boots,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/item-boots.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
item.gloves,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/item-gloves.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
item.amulet,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/item-amulet.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
emblem,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/emblem.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
item.ring,OpenAI imagegen for Piulka/shov,assets/art-audio-v1/sources/graphics/item-ring.png,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.sentinel,OpenAI imagegen for Piulka/shov,alias:enemies/porcelain,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.shard,OpenAI imagegen for Piulka/shov,alias:enemies/splinter,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.weaver,OpenAI imagegen for Piulka/shov,alias:enemies/loom,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
enemy.boss,OpenAI imagegen for Piulka/shov,alias:enemies/cantor,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
item.weapon,OpenAI imagegen for Piulka/shov,alias:item-weapon-blade,OpenAI output terms,"yes, subject to terms",yes,none required by output terms,rights-evidence.md
ambience.terraces,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/ambience/terraces.wav,Original project output,yes,yes,none,rights-evidence.md
ambience.glassgarden,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/ambience/glassgarden.wav,Original project output,yes,yes,none,rights-evidence.md
ambience.carmine,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/ambience/carmine.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.attack.blade.01,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/attack-blade-01.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.attack.blade.02,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/attack-blade-02.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.attack.blade.03,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/attack-blade-03.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.attack.glass.01,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/attack-glass-01.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.attack.glass.02,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/attack-glass-02.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.attack.glass.03,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/attack-glass-03.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.attack.needle.01,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/attack-needle-01.wav,Original project output,yes,yes,none,rights-evidence.md
