assetId,seconds,channels,peakDbfs,lufsI,truePeakDbtp,pcmSeamDelta
ambience.terraces,64.0,2,-12.17,-26.01,-12.17,0.002722
ambience.glassgarden,64.0,2,-12.54,-26.01,-12.54,0.002367
ambience.carmine,64.0,2,-12.49,-25.98,-12.49,0.0019
sfx.attack.blade.01,0.26,1,-9.0,-inf,-8.99,
sfx.attack.blade.02,0.26,1,-9.0,-inf,-8.98,
sfx.attack.blade.03,0.26,1,-9.0,-inf,-8.99,
sfx.attack.glass.01,0.34,1,-11.0,-inf,-11.00,
sfx.attack.glass.02,0.34,1,-11.0,-inf,-10.99,
sfx.attack.glass.03,0.34,1,-11.0,-inf,-11.00,
sfx.attack.needle.01,0.23,1,-12.0,-inf,-12.00,
sfx.attack.needle.02,0.23,1,-12.0,-inf,-11.99,
sfx.attack.needle.03,0.23,1,-12.0,-inf,-12.00,
sfx.hit.ceramic.01,0.18,1,-10.0,-inf,-9.99,
sfx.hit.ceramic.02,0.18,1,-10.0,-inf,-10.00,
sfx.hit.ceramic.03,0.18,1,-10.0,-inf,-9.99,
sfx.hit.glass.01,0.24,1,-11.0,-inf,-10.99,
sfx.hit.glass.02,0.24,1,-11.0,-inf,-11.00,
sfx.hit.glass.03,0.24,1,-11.0,-inf,-11.00,
sfx.hit.fabric.01,0.19,1,-12.0,-inf,-12.00,
sfx.hit.fabric.02,0.19,1,-12.0,-inf,-12.00,
sfx.hit.fabric.03,0.19,1,-12.0,-inf,-11.99,
sfx.heavy.impact.01,0.45,1,-6.0,-20.85,-5.99,
sfx.heavy.impact.02,0.45,1,-6.0,-20.85,-6.00,
sfx.shield.absorb.01,0.18,1,-13.0,-inf,-13.00,
sfx.shield.absorb.02,0.18,1,-13.0,-inf,-12.53,
sfx.dot.01,0.13,1,-23.0,-inf,-22.99,
sfx.dot.02,0.13,1,-23.0,-inf,-23.00,
sfx.heavy.windup,2.0,1,-16.0,-25.25,-16.00,
sfx.shield.raise,0.38,1,-14.0,-inf,-14.00,
sfx.heal,0.55,1,-15.0,-28.67,-15.00,
sfx.cleanse,0.38,1,-16.0,-inf,-16.00,
sfx.critical,0.18,1,-15.0,-inf,-14.98,
sfx.defeat.ceramic,0.7,1,-15.0,-38.94,-14.98,
sfx.defeat.glass,0.7,1,-16.0,-33.92,-15.99,
sfx.defeat.fabric,0.65,1,-17.0,-39.11,-16.99,
sfx.victory,0.6,1,-19.0,-34.20,-18.73,
sfx.retreat,0.5,1,-19.0,-34.90,-19.00,
sfx.ui.click,0.065,1,-27.0,-inf,-27.00,
sfx.ui.back,0.08,1,-26.0,-inf,-26.00,
sfx.ui.confirm,0.18,1,-23.0,-inf,-23.00,
sfx.ui.reject,0.2,1,-22.0,-inf,-22.00,
sfx.ui.equip,0.23,1,-21.0,-inf,-21.00,
sfx.ui.lock,0.18,1,-23.0,-inf,-23.00,
sfx.item.salvage,0.42,1,-21.0,-40.35,-21.00,
sfx.item.drop.common,0.2,1,-25.0,-inf,-25.00,
sfx.item.drop.fine,0.35,1,-23.0,-inf,-23.00,
sfx.item.drop.resonant,0.5,1,-21.0,-34.44,-21.00,
sfx.item.craft,0.6,1,-20.0,-35.14,-19.99,
sfx.item.reforge,0.55,1,-21.0,-34.64,-21.00,
sfx.item.upgrade,0.7,1,-20.0,-35.16,-20.00,
sfx.ui.levelup,0.9,1,-20.0,-35.11,-20.00,
sfx.ui.routeunlock,1.0,1,-21.0,-38.75,-21.00,
